,ASER,BWM-DL02,BWM-DL04,BWM-DL06,FLPR,BWM-DL01,BWM-DL05,BWM-VR08,BWM-DL07,BWM-DR07,BWM-DR05,BWM-VR04,URYVR,BWM-DR03,BWM-DR01,BWM-DR06,BWM-DR08,SMBDL,BWM-VR02,SMDDR,URYVL,URAVL,BWM-DR04,BWM-DR02,IL2VR,IL1DR,RIPR,OLLR,OLQDR,URADR,URYDR,AVHL,CEPVR,IL1VR,BWM-VL03,URBL,CEPDR,BWM-VL08,URXR,BWM-VL04,RID,RIR,ASKR,AVAL,BWM-VL02,RMDL,SIBDR,RIGL,ALMR,AVDR,AVKL,RMEV,AVL,SIBDL,RIS,CEPVL,RMDR,RIBR,OLLL,RIML,RMEL,SAAVR,SIAVL,ADAR,PVT,RIPL,AVAR,BDUL,SIADL,SMDDL,excgl,AIML,BAGL,SMBVL,AIYL,RIFL,BWM-VR01,RMER,SMDVR,ADAL,SIBVL,RMDVR,AVKR,AVHR,PVPL,ASHL,AIZL,AVBR,AVBL,ASGL,ADFL,AWAL,BWM-VR03,AUAL,ASJL,RIBL,ASIL,ASKL,AIBL,AFDL,SABD,AWCR,RIMR,ASIR,AVJR,AUAR,OLQVL,ADFR,DB1,RIGR,AIZR,ASGR,URBR,SAAVL,IL1DL,SMBVR,AVJL,RIFR,BDUR,RMGR,AIMR,RICR,PVR,DVA,SMDVL,PVCR,PVCL,IL1R,FLPL,ADEL,ADER,DVC,SIADR,SIAVR,PVPR,RIH,PVQR,AWBL,SABVL,SABVR,IL2R,RIVR,BWM-VR07,RMDDR,IL2DR,AIBR,IL1VL,RMED,SAADR,RIAR,RICL,RIVL,BWM-VL07,SAADL,AINR,AINL,RMDDL,RIAL,BWM-VL05,CANL,ADLL,AVEL,BWM-VR05,AVDL,IL2VL,ALML,SMBDR,AWCL,ASEL,ALA,AVER,ADLR,CANR,AIAL,ASJR,PVQL,AIYR,RMDVL,AIAR,AWAR,BWM-VR06,IL1L,RMGL,IL2L,AWBR,AFDR,ASHR,URAVR,URADL,OLQDL,URYDL,IL2DL,CEPDL,URXL,BAGR,OLQVR,BWM-VL01,BWM-DL03,BWM-DL08,BWM-VL06,SIBVR,Fragment1,Fragment2,Fragment3,Fragment4
AIZL,305640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,821280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26880,572400,0,0,0,0,0,541920,0,9720,253560,0,0,27480,0,0,0,0,0,894840,0,360,0,0,0,0,0,0,81960,0,0,35160,0,880440,1198680,0,0,0,0,0,0,0,720,313080,12480,386760,0,0,105720,87720,1089480,427560,0,134520,0,580200,86640,0,158280,396120,0,195000,0,0,0,0,0,134400,0,40560,558840,0,0,0,0,66360,0,0,0,0,0,0,0,570000,0,0,0,0,0,0,0,353760,0,0,0,598920,0,645720,0,0,0,0,0,0,0,471600,0,0,0,214800,17880,0,0,78480,22080,0,0,1240680,0,0,8040,462840,0,0,0,0,150240,173760,212040,0,427080,0,0,455640,0,0,18720,0,0,0,0,0,0,0,29400,0,35880,0,0,0,0,0,0,25440,307080,0,0,0,0,0,73440,0,0,0,0
AVBR,0,0,0,0,33000,0,0,0,0,0,0,0,38280,0,0,0,0,21840,0,0,0,0,0,0,0,0,21120,0,7800,50160,17520,335040,14640,0,0,0,0,0,0,0,462480,314280,53640,114240,0,0,19800,212280,211320,49440,2880,0,0,119400,242760,0,0,42840,0,250080,0,0,56160,474120,0,0,240360,1440,65280,32040,0,0,15960,162840,51120,0,0,0,0,295800,129600,0,0,316320,1004040,2520,0,0,494760,0,0,0,0,0,0,195720,0,0,0,0,0,0,239640,0,365160,69720,0,148560,87960,0,211920,44040,0,18480,0,2040,853200,543120,4200,104640,2880,0,343800,809040,45960,412920,522600,0,0,0,0,3720,0,4080,427440,88920,0,0,0,0,0,0,0,0,0,497280,0,0,0,0,32280,61080,0,0,0,0,0,0,0,0,12240,0,0,174120,0,0,0,0,0,0,325800,0,0,6000,0,0,36000,0,0,51000,0,0,0,0,11280,0,989880,0,0,0,0,0,0,8280,238320,8160,0,0,0,0,5760,47400,0,0,0
AVBL,0,0,0,0,67800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56040,51480,0,0,0,0,0,0,0,840,0,24840,461040,0,0,0,24000,0,0,216720,0,0,54960,0,234480,0,0,69240,0,0,197400,41400,103200,221640,0,69840,0,0,256800,0,217080,0,51840,0,310320,0,0,192120,188640,0,0,0,0,393000,7320,14280,373680,0,0,57000,303720,231600,0,0,263640,428040,735840,105720,494760,0,0,93600,75000,0,60840,0,40200,0,40080,596760,0,0,0,354120,0,583080,0,1200,0,0,220800,0,0,0,24360,0,124080,480240,129600,14040,0,0,24120,79920,828840,0,750840,679920,0,0,0,0,0,36840,102480,1055760,0,0,0,0,0,0,108480,0,0,0,0,0,0,0,2400,72000,20280,0,0,0,0,0,0,0,0,600,228720,0,161520,0,165840,0,0,0,0,2520,0,0,0,0,0,0,0,0,0,0,0,45960,0,1800,0,51480,0,48480,35280,24840,0,0,0,8160,0,0,0,0,0,82200,0,0,0,0
ASGL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41400,0,0,0,0,0,66480,0,0,0,0,0,0,0,0,2160,559320,0,0,13320,0,0,0,0,0,0,0,0,0,0,5280,87720,0,0,0,3480,90840,0,0,61800,0,118920,19200,342240,0,0,161640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,720,0,0,0,30720,112920,0,0,0,0,0,0,0,0,0,0,0,372720,206160,0,0,0,0,1027320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADFL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,337440,0,0,40080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,406080,0,0,0,0,0,0,0,0,0,0,0,120,0,0,0,19440,0,3240,0,0,203040,0,0,0,0,0,0,0,0,720,0,502080,600000,117240,0,0,0,16560,68760,0,0,354480,89520,457560,1089480,0,93600,3480,0,471840,0,1088880,0,27000,0,0,107280,269160,0,0,0,0,0,9840,27840,114960,0,0,27840,0,0,0,0,0,0,0,0,0,0,0,0,14040,0,0,0,0,0,0,0,0,0,0,0,16440,0,958680,0,0,0,0,0,0,0,21120,0,0,0,0,0,0,0,0,59400,0,0,243480,0,0,0,0,0,0,0,0,0,3360,98160,0,0,0,0,149640,0,720,0,0,0,0,0,0,0,0,19080,0,0,0,0,0,0,0,0,518880,0,0,0,0,0,0,0,0,0,0,0
AWAL,158880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3960,0,0,0,0,0,0,0,0,0,0,0,0,0,36000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205320,0,136680,426240,55440,0,0,0,6480,0,0,0,24360,0,463200,427560,0,75000,90840,471840,0,0,0,210600,0,121320,0,114720,18240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,720,0,0,0,0,1081440,0,0,0,0,0,0,0,30480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,464640,0,0,0,0,0,0,34560,1202640,0,0,0,0,127200,0,521880,0,0,80400,119160,0,0,19200,24720,99000,0,13680,0,0,13200,4320,0,0,10320,14160,0,0,0,0,0,0,0,0,0,0
BWM-VR03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12000,0,0,0,0,0,0,2640,0,0,0,0,0,140880,0,196080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186240,0,0,0,4920,0,0,0,0,0,0,0,0,0,0,0,0,0,2640,0,0,0,0,0,0,2282520,0,56160,0,0,108240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100560,0,0,0,0,0,0,0,0,290520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62280,140040,0,0,0,72960,0,34680,0,18600,0,0,0,0,0,36240,0,0,0,0,829080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,514320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92160,0,0,0,0,0,0,0,0
AUAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25200,201120,0,126600,0,0,0,0,0,15360,0,132000,0,74880,0,137160,0,103200,20160,88320,0,0,0,0,0,0,0,0,0,0,0,0,19800,0,1475760,0,0,0,0,0,0,0,0,24480,0,0,134520,0,60840,0,1088880,0,0,0,0,1416360,0,0,57720,648240,0,14880,0,0,0,60360,2760,72120,0,0,0,0,0,42120,45600,0,0,0,0,0,0,0,0,0,47400,0,0,0,0,0,0,0,0,0,0,86160,0,113040,0,0,0,0,0,0,0,24240,0,0,0,0,0,47280,0,0,1758240,245880,0,520920,0,0,0,143400,0,0,0,0,0,0,3840,0,2760,0,0,0,0,0,60240,0,0,0,0,0,0,19320,71640,24960,0,0,0,20760,10080,84840,4080,1898280,36240,0,0,0,0,0,0,0,0,0,0
ASJL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23040,0,0,0,0,0,0,0,0,0,0,0,6840,0,0,0,9600,0,0,0,0,0,0,117720,0,0,0,24720,0,0,0,0,0,0,0,0,47520,0,0,37560,0,0,63000,0,0,0,0,0,0,0,0,0,633360,0,0,0,92160,0,0,0,0,0,0,0,0,0,0,0,0,0,61800,0,210600,0,0,0,31680,123600,826800,9960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33240,0,23640,0,0,0,5640,0,0,0,0,0,0,0,0,0,0,0,14880,0,0,0,0,36720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164760,9960,0,21960,0,18600,0,0,256800,43680,0,0,0,552480,140160,1237320,0,0,21360,0,0,16200,0,42720,0,0,0,0,0,21360,16320,14640,23160,39840,0,0,0,0,0,0,0,0,0,0,0
RIBL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16800,0,394080,563280,133200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,360000,29400,0,69360,0,0,0,172200,0,83520,19680,452760,79680,165480,1205760,78480,108720,265320,578640,353640,407400,0,77160,0,67800,0,0,0,188160,85320,0,0,192480,0,727200,0,0,0,385080,0,135600,0,600,0,0,0,580200,195720,40200,0,27000,0,0,1416360,31680,0,69360,0,27840,1200,0,0,264360,0,0,0,201480,8520,0,0,0,0,0,0,43560,0,0,0,0,0,0,0,0,65760,136920,0,0,0,0,0,0,425880,11040,0,0,216840,0,134040,0,0,0,14640,0,0,0,50760,0,256560,0,0,0,45000,0,0,189960,7560,0,790080,0,0,0,154920,0,0,0,0,0,54840,0,0,708360,0,0,0,0,0,0,0,0,0,0,35520,0,50040,0,0,0,0,0,98760,426600,0,154440,251040,1250880,0,0,0,0,0,60480,0,0,0,0
ASIL,502680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60840,0,0,12000,108120,0,6240,0,0,0,0,0,0,0,0,0,0,0,0,557280,0,0,0,0,0,0,0,0,0,0,0,86640,0,0,118920,0,121320,0,0,123600,69360,0,102480,141240,168240,0,1058880,0,151920,0,0,0,0,0,0,0,0,0,0,3360,0,27240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60600,3480,0,0,0,0,296880,0,0,0,0,0,0,1111680,147960,0,0,0,0,258600,0,0,0,0,0,0,0,0,0,5520,0,0,0,0,0,31320,360,0,0,0,439560,0,0,0,0,0,0,0,0,0,0
ASKL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,247680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21960,0,56880,0,0,0,0,0,0,0,0,0,31680,0,0,0,605400,0,0,0,168960,0,0,0,0,0,124320,0,0,40080,19200,0,0,0,0,826800,0,102480,0,232680,0,0,64800,0,0,1800,0,0,0,0,0,0,0,0,0,2280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29880,0,0,0,0,1143480,0,0,0,0,27000,0,365520,132480,339120,0,0,0,1403040,0,945480,0,0,0,0,0,0,121920,10680,0,0,0,0,0,5400,2160,480,0,0,0,0,0,0,0,0,0,0,0,0,0
AIBL,514920,0,0,0,0,0,0,0,0,0,0,0,99840,0,0,0,0,0,0,659640,0,0,0,0,45360,0,0,97560,0,0,64560,0,0,75840,0,0,0,0,6720,0,0,196080,0,247440,0,0,118080,0,0,66000,301560,188160,502080,189000,114240,360,0,197880,0,374880,0,28320,0,56400,516000,0,0,0,0,1200,0,50040,134280,0,386640,19560,0,0,173520,91800,104880,0,366240,3120,0,575160,158280,0,596760,342240,107280,114720,0,57720,9960,27840,141240,232680,0,175800,0,252840,1836840,0,0,0,0,18960,0,739080,691080,0,97320,88200,0,0,0,0,0,343080,0,52800,0,69000,0,0,0,44520,102000,0,0,775680,230520,6000,270840,38400,0,52920,0,0,16560,52920,0,0,0,630480,0,140040,150960,58560,0,469200,0,413280,34680,198840,0,0,0,0,228360,525960,0,93120,0,0,507120,732840,1186200,0,215880,0,0,1323000,0,202200,0,0,30240,0,0,0,0,0,56880,0,0,86640,0,0,0,0,0,0,114240,0,0,0,0,0,34080,0,0,0,0
AFDL,605400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,378240,8520,0,0,0,0,0,0,0,0,0,0,0,840,0,33600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1257000,0,0,0,0,0,0,0,0,18840,0,0,396120,0,0,0,269160,18240,0,648240,0,1200,168240,0,175800,0,0,367920,0,46200,0,0,0,0,0,0,0,0,0,4680,1680,0,0,0,0,0,0,0,0,0,1440,0,0,0,0,0,0,0,0,0,0,0,0,131400,0,0,0,0,0,0,0,0,0,0,0,0,0,22800,0,0,1076640,271320,0,17160,0,0,0,0,0,0,0,0,0,144360,261360,0,0,0,0,7920,0,0,177000,0,0,0,0,0,0,15720,0,67560,0,0,0,3000,0,5400,240,37320,278520,0,0,0,0,0,0,0,0,0,0
SABD,33840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2880,0,0,0,0,0,0,0,0,0,0,0,0,7560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7080,6960,0,0,0,0,0,0,0,92280,0,169320,0,126480,0,0,0,0,56880,51840,43800,67320,196680,0,0,0,0,50760,111840,0,0,79680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AWCR,985920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14280,0,0,10680,0,6240,0,62760,0,0,0,30120,0,0,0,0,0,149640,0,0,0,133320,0,0,0,0,0,0,0,0,51120,0,71280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92400,0,192840,0,0,0,0,0,0,0,0,0,0,0,195000,0,0,161640,0,0,0,14880,0,0,1058880,64800,252840,367920,0,0,111960,2044920,0,32400,0,0,34680,0,49200,382320,0,1320,3720,0,0,0,0,0,0,0,0,0,600,0,0,16320,0,0,0,0,0,0,0,0,480,0,0,0,0,0,0,0,58680,1136880,0,0,0,0,0,4680,0,0,313200,46080,0,10800,0,0,504480,0,0,0,0,0,0,1773120,47880,0,0,1196280,0,435840,0,0,563760,0,853440,107400,0,0,0,0,167280,188880,0,0,0,24480,0,0,0,0,60600,0,0,0,0,0,0,0,0,0,0
RIMR,0,0,173880,36000,0,0,0,0,0,0,0,0,12600,0,0,0,0,0,0,633480,3960,1200,0,0,3960,0,0,12720,0,0,7560,0,0,15000,0,0,0,0,0,172200,0,34200,6000,1021320,0,830400,312240,306600,0,11400,867720,431160,317520,242640,536640,0,5160,461760,17280,143640,0,991080,0,783480,65640,0,165240,0,95400,895200,0,0,332880,0,0,0,0,0,545640,0,14400,0,876960,0,0,0,0,239640,354120,0,0,0,0,0,0,264360,0,0,1836840,0,7080,111960,0,108840,0,138000,0,0,72480,615720,799560,0,48840,1693320,0,162480,60720,430080,0,0,0,96120,0,176280,408240,0,53640,0,9720,0,0,181080,458280,330360,20520,0,0,0,0,0,0,348240,0,0,0,201600,0,0,954000,129120,170520,102120,0,1148760,0,0,0,0,0,0,0,416160,0,35880,13560,0,178320,0,0,0,525720,0,0,0,0,0,288720,6360,0,0,0,0,114360,0,2400,0,215760,7920,0,0,7080,0,0,0,0,0,0,0,0,141960,352200,0,0,0,0
ASIR,510840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18720,0,16320,26160,0,20520,0,60360,0,0,0,16320,0,0,0,0,0,151080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151920,0,0,46200,6960,2044920,108840,0,0,0,0,0,0,0,1080,225120,0,9360,0,0,0,3000,0,0,0,0,0,0,0,0,0,8040,0,0,0,0,0,0,0,0,0,0,0,0,3960,0,0,0,16200,79800,0,0,0,0,0,0,0,0,13320,63960,0,0,0,0,0,0,0,0,0,0,0,1178640,187080,0,0,117720,0,0,126840,0,353760,0,306480,146880,0,0,0,0,210240,336720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AVJR,0,0,0,0,5280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10320,20400,0,0,0,0,19800,0,15360,31080,10440,25680,56040,0,0,0,45000,13080,0,12960,0,177600,0,0,32760,0,0,17520,0,102960,614520,0,0,0,25560,193920,0,0,0,0,31200,0,0,3960,0,0,0,84480,225240,3360,0,0,0,0,142560,242040,734760,0,0,480,155760,0,0,0,456480,78960,118560,0,365160,583080,0,0,0,0,0,0,0,0,1800,0,0,0,0,0,0,0,0,14160,0,0,0,0,0,0,0,0,0,188400,75360,89880,0,15840,0,178440,0,0,0,1183680,0,0,0,0,0,8280,0,47160,0,0,0,0,0,0,65880,0,0,0,0,0,0,0,0,5040,0,0,0,137160,0,0,0,0,0,48120,35760,0,11280,0,339600,0,0,0,46800,2280,97200,0,23160,7560,0,6840,0,0,0,0,0,10200,0,0,0,63480,0,17040,17760,13560,0,0,0,0,0,0,0,0,0,27840,0,0,0,0
AUAR,0,0,0,0,0,0,0,0,0,0,0,0,69360,0,0,0,0,0,0,0,0,0,0,0,0,30960,0,0,12840,0,3480,3600,63720,0,0,0,124800,0,2042280,0,0,300240,0,0,0,0,67920,0,0,10320,0,0,0,0,202080,0,0,1150200,0,0,0,25560,0,0,0,0,161040,0,0,0,0,0,105360,0,0,0,0,0,46200,0,0,43560,0,0,0,0,0,69720,0,0,9840,0,0,60360,0,0,0,0,0,0,0,32400,138000,0,0,0,0,926520,194280,31800,73320,0,0,0,0,0,0,0,0,0,0,0,0,21600,0,0,0,53280,0,0,0,0,0,0,0,38520,0,0,0,0,7080,45000,0,0,129000,23640,0,0,0,761760,0,0,0,0,323400,1597800,0,0,0,0,0,0,0,61200,0,0,0,9600,0,0,109800,0,0,0,0,0,1119960,0,0,0,0,0,0,0,100680,1212240,0,0,0,0,0,0,0,0,66000,6000,0,0,0,0,0,0,0,0,0
OLQVL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,688560,283680,0,0,0,0,0,0,0,0,0,0,0,0,0,132960,0,0,0,0,0,92400,0,8520,0,0,0,160440,0,25200,0,45720,46200,331680,98280,191400,0,0,46680,0,846360,0,7560,0,47520,61560,0,0,0,0,0,0,840,367560,0,0,0,0,0,94560,5880,598440,6360,38040,12480,0,0,0,1200,0,27840,0,0,2760,0,201480,0,0,0,0,0,0,0,0,14160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181560,178560,23040,0,0,29760,0,0,0,0,165480,0,0,0,593760,0,14040,0,0,0,10800,0,0,0,0,502440,28080,0,0,331560,0,0,0,0,0,107160,54720,0,0,4560,0,0,0,423960,9360,0,0,0,0,4560,0,0,0,0,0,0,0,0,0,0,0,0,391800,0,0,0,0,0,0,0,0,0,34680,16800,0,0,0,0,0,39480,0,0,0,0
ADFR,115320,0,0,0,0,0,0,0,0,0,0,0,6720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,424320,0,0,0,0,0,0,507840,0,0,618480,0,0,0,0,85920,0,0,0,0,0,0,0,22320,0,0,91680,0,0,0,0,0,44520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18840,65040,0,134400,148560,0,0,114960,0,0,72120,0,8520,0,0,18960,0,0,0,0,0,0,926520,0,0,0,0,1231680,0,0,0,0,540960,0,19320,0,0,0,0,0,213240,0,0,0,0,0,0,0,0,0,30480,50760,22200,0,74400,0,0,0,0,0,0,0,108000,0,0,0,239640,0,0,0,0,1560,16320,0,0,0,0,0,0,0,0,0,0,525600,0,16800,0,0,0,0,0,0,0,621000,0,106200,606840,0,0,0,0,988800,468600,483480,0,0,0,0,0,0,0,9120,19680,0,0,0,0,41400,13560,0,0,0
DB1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85320,0,0,0,0,0,0,0,286320,0,0,3360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20520,0,0,0,0,0,0,87960,0,0,0,0,0,0,0,0,0,0,0,0,0,34680,72480,0,0,194280,0,0,0,0,0,0,0,0,0,0,0,0,26640,65040,74880,45000,0,53040,0,0,0,0,0,0,0,0,0,35520,0,0,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13080,134400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130680,0,0,0
RIGR,0,0,0,0,41880,0,0,0,0,0,0,0,305400,0,0,0,0,68880,0,0,0,0,0,0,38400,66840,0,420240,122640,0,147480,0,0,60240,0,0,0,0,342240,0,255000,558000,0,4920,0,0,0,522960,0,11400,147840,302760,118920,0,68640,0,0,247800,0,282480,0,66600,0,0,733920,0,0,0,0,0,0,0,912000,0,31200,0,0,111360,2160,0,0,0,799560,0,0,0,40560,0,220800,0,0,0,0,0,0,0,0,0,739080,0,0,0,615720,0,0,31800,0,0,0,0,614160,0,4800,659400,0,325560,0,0,0,310200,0,0,0,96840,0,0,70800,0,174240,34080,111840,1486080,145560,9360,3960,175200,0,0,0,0,14160,0,0,0,0,9480,0,206160,1043400,286320,0,392880,0,476040,0,21480,0,0,0,0,0,50280,0,113280,0,0,293520,0,0,0,81720,0,0,0,0,0,9000,0,0,0,0,0,0,0,0,0,0,56280,0,0,0,0,0,0,6240,237000,0,0,0,0,245040,0,0,0,0
AIZR,277800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16920,0,2880,0,0,0,0,0,0,0,0,0,0,0,272640,0,0,0,0,0,0,25320,0,720,451560,0,0,0,0,115560,20160,0,7440,3480,0,0,4200,0,0,0,650040,0,0,0,5880,0,0,0,0,0,0,0,0,0,0,154680,9960,78720,0,0,0,0,0,0,0,81360,46080,0,0,558840,211920,0,0,27840,0,0,0,0,0,0,0,691080,0,0,49200,799560,1080,0,73320,0,1231680,0,614160,0,116040,0,0,0,1145760,0,0,0,0,25800,44760,0,717360,0,0,14640,0,0,0,0,263160,84360,0,0,567720,0,6360,0,0,0,4200,0,0,0,24600,0,0,0,1247400,0,0,0,0,0,1320,0,0,0,0,0,245880,0,241320,0,0,645960,215280,198960,0,478800,0,0,0,0,0,1018440,0,356400,446280,0,0,0,0,528600,475920,382440,0,0,0,0,0,0,0,72720,0,0,0,0,0,4440,0,0,0,0
ASGR,408120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67680,0,0,0,0,0,0,0,0,0,480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44040,0,0,0,0,0,0,0,0,0,0,0,0,92280,382320,0,225120,0,0,0,0,0,0,116040,0,0,83880,0,0,0,0,0,0,675840,29400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,566760,0,0,0,0,0,0,0,0,63600,123000,0,0,0,0,0,0,0,0,0,0,0,126600,0,0,0,960,0,0,132480,0,5400,0,796560,119400,0,0,0,0,0,22200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
URBR,0,0,0,0,0,0,0,480,0,0,0,218520,0,0,0,0,0,330600,46320,0,0,0,486600,108240,0,0,0,676560,66840,0,0,0,433800,0,0,0,690840,0,216240,0,0,0,0,1200,0,217560,208080,0,485760,30720,0,0,1920,47040,0,0,23280,0,0,0,0,55320,0,115560,840,0,0,0,3840,81600,0,0,0,0,0,0,0,0,72120,0,139320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97320,0,0,0,48840,0,0,0,0,0,0,4800,0,0,0,0,0,209760,20400,37080,3960,11160,0,511320,0,10920,0,40920,0,663720,0,0,0,480,4800,277320,0,0,0,0,0,0,846840,73680,0,0,0,0,0,0,0,55320,159960,0,0,144120,0,0,102720,0,0,0,0,0,0,141000,0,0,36840,0,0,45480,6720,5760,3000,0,0,0,0,0,0,0,0,0,0,0,1800,0,0,0,0,0,0,0,0,0,4560,70200,0,0,0,0,371400,0,0,0,0
